pid,zipcodes
10000_2017,"25789, 41028, 06819, 18099, 36842, 90521, 04717"
10001_2017,"18988, 05774, 29420, 60452, 40396, 94259, 43676, 91624, 45270, 11830"
10002_2017,"15823, 23797, 85540, 26632, 59045, 81801, 56330"
10003_2017,"43724, 22342, 60027, 19835, 23789"
10004_2017,"79216, 42720, 11203, 78004, 26042, 19917, 34694, 68813, 73357, 39797"
10005_2017,"45540, 37621, 65897, 43719, 11405, 90068, 97274, 10038, 09527"
10006_2017,"99876, 62857, 04849, 20634, 27143"
10007_2017,"53089, 05720, 55168, 34441, 10977, 19520"
10008_2017,"92095, 54177, 80352, 08801, 83588, 74133, 87556"
10009_2017,"80677, 42431, 84501"
10010_2017,"79561, 56218, 17481, 81286"
10011_2017,"89980, 28490, 93937, 23881, 14099, 48660, 83583, 30390, 65683"
10012_2017,"65497, 06155, 33624"
10013_2017,"32813, 21880, 03135, 82901, 40815, 26489, 63302, 12761"
10014_2017,"04936, 23240"
10015_2017,"32951, 11503, 50144, 40493, 01080"
10016_2017,"22877, 80643, 61749, 11752, 08493, 10851, 08804, 29609, 73294, 30147"
10017_2017,"79057, 43563, 15504, 70029, 94070"
10018_2017,"70232, 92833, 08976, 96366, 83530"
10019_2017,"89561, 67973, 96047, 78109, 81313, 07154"
10020_2017,"88532, 16883, 71674, 31653"
10021_2017,"73073, 51686"
10022_2017,"34983, 64840, 28026, 01484, 56316, 75704, 37007"
10023_2017,"29161, 08426, 43118, 06608, 60298"
10024_2017,"85147, 88162, 23867, 86592, 92183"
10025_2017,"40643, 94511, 79996, 02795, 12899, 64278"
10026_2017,"18346, 04883, 43107, 39637"
10027_2017,"55101, 46118, 77683, 18178, 21697, 52879, 81923"
10028_2017,"44625, 09391"
10029_2017,"27149, 84904, 70142, 93386, 71229, 87859, 02977, 89997"
10030_2017,"74584, 45036, 06354"
10031_2017,"89733, 42340, 87704, 24328, 65362, 94850, 29648, 51890, 89901, 03945"
10032_2017,"78078, 94719, 49468"
10033_2017,"69814, 15884"
10034_2017,"84596, 29158, 76311, 13404, 61346, 45886, 61235"
10035_2017,"69044, 77078, 96123, 09901, 77349, 93073, 45420"
10036_2017,"19633, 26238, 48768, 70891"
10037_2017,"80204, 18635"
10038_2017,13829
10039_2017,"52573, 83722, 12111, 65068, 25536"
10040_2017,"25949, 50412, 74755, 57757, 16907, 72566, 51342"
10041_2017,"53141, 98571, 74443, 41329, 63331, 89213, 36237, 54163, 39931, 42672"
10042_2017,"98891, 73571, 19859, 46669, 61688, 54841, 73082, 32686"
10043_2017,32746
10044_2017,"28187, 56499, 10435, 04660, 12460, 45972, 17813, 84181, 69130, 22625"
10045_2017,"31120, 64511, 04653, 27616, 72260, 17627, 75842"
10046_2017,"08832, 36032, 03016"
10047_2017,"27275, 67153"
10048_2017,94244
10049_2017,"17752, 67579, 24304, 86967, 40593, 31268, 91560, 10929"
10050_2017,"74242, 49048, 09579, 93351"
10051_2017,"42086, 57515, 10525, 24931, 21882"
10052_2017,"77347, 60013, 00823, 38440, 80621, 62765"
10053_2017,"13426, 73959, 91019, 56881, 72044, 78363, 99587"
10054_2017,"13406, 26716, 84116, 08920, 40561, 83190, 53786, 46659, 82824, 93705"
10055_2017,"73450, 91490, 42870, 60032, 46959"
10056_2017,26735
10057_2017,"07299, 54665, 46499, 69386, 03194, 39384, 27900, 38700"
10058_2017,"18876, 52679, 68928, 25388, 29896"
10059_2017,"22145, 36358, 46956, 46999, 99187, 16546, 19650, 81103"
10060_2017,"65493, 32789, 06417, 40595, 53428, 09638, 97082"
10061_2017,"11302, 09546, 12891, 64624, 07211, 83316, 11311"
10062_2017,"30918, 26474, 38564, 72192, 18086, 14415, 16742"
10063_2017,"95780, 83443, 41009, 70111, 90043, 77632, 67531, 03618"
10064_2017,"03126, 55070, 57884"
10065_2017,"85393, 46032, 91835, 93393, 31494, 98207, 57732, 19844"
10066_2017,"46113, 80060"
10067_2017,16014
10068_2017,"03198, 29457"
10069_2017,"23786, 10761"
10070_2017,"34319, 04371, 23259, 54002, 39691, 87860"
10071_2017,"50545, 47148, 62811, 40116, 04795, 53767, 65101, 95254"
10072_2017,"11834, 62369"
10073_2017,"10387, 34088, 26629, 00728, 00518, 80910, 41419, 91988"
10074_2017,"24063, 72907, 24063, 41513, 75766, 67248"
10075_2017,"48609, 73914, 41244, 74907, 22960"
10076_2017,"19980, 52057, 37863, 21667, 38103"
10077_2017,"54665, 34878, 53350, 23432"
10078_2017,"69604, 47467, 46552, 02286, 37406, 92910, 23764, 42070, 51152, 73201"
10079_2017,"23500, 57738, 71043, 67896, 79787, 20033, 26983, 66953, 48173, 25551"
10080_2017,"93152, 17266, 88545"
10081_2017,"35733, 20305, 73116"
10082_2017,"03051, 17784, 12968, 20890"
10083_2017,"51415, 98957, 54105, 37638"
10084_2017,"71997, 67209, 21158, 57989, 18045, 60874, 44590, 53665, 22876"
10085_2017,"09183, 99275, 57932, 80273, 38858, 49240, 78754, 15390, 72439"
10086_2017,"71084, 98434, 44426, 36094, 41325, 59376, 51440"
10087_2017,"60518, 87141, 13200"
10088_2017,"10582, 35636, 30351, 23077, 43216, 94851"
10089_2017,"37678, 29554, 93821, 12878"
10090_2017,"23516, 27480, 96062"
10091_2017,"88959, 98341, 52686, 69140"
